TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
3198,3489,3489,0,1181,2.95,130680,1.29,2.43,0.71,511,2130,8,0,0,314,16,51,453,8,61,119,87,272,0,89,37,166,49,266,116,17,1116,1,0,0,0,0,0,3050
3199,2122,2122,0,813,2.61,103890,1.32,2.29,0.46,238,469,45,0,8,9,4,14,95,1,0,1,23,20,80,23,35,5,27,0,31,49,1004,191,0,0,0,0,0,21990
3200,2490,2490,0,927,2.69,98436,1.1,2.22,0.52,258,690,19,0,0,310,21,3,29,8,3,0,2,15,0,17,31,0,45,12,18,158,1229,302,0,0,0,0,0,62450
3201,2055,2055,0,624,3.29,78154,1.39,1.78,0.86,43,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,675,50,0,0,0,0,0,2590
3202,2504,2504,0,823,3.04,113052,1.25,2.16,0.63,126,1047,23,0,0,11,8,17,341,18,10,45,83,10,0,8,0,42,0,51,353,25,997,174,0,0,0,0,0,13830
3203,3353,3353,0,1112,3.02,78154,1.25,1.78,0.78,139,665,4,0,0,4,2,3,26,7,10,2,32,7,0,13,0,21,17,24,95,398,1117,6,0,0,0,0,0,1470
3204,1740,1740,0,631,2.76,111303,1.11,2.11,0.55,186,164,18,0,0,27,1,7,0,0,0,0,12,11,0,18,1,0,4,29,31,5,830,199,0,0,0,0,0,31800
3205,3739,3739,0,1220,3.06,78154,1.28,1.78,0.79,209,311,2,0,0,2,7,6,71,5,2,8,7,4,0,2,4,70,16,69,34,0,1290,70,0,0,0,0,0,1570
3206,2299,2299,0,854,2.69,86590,1.3,2.27,0.48,279,269,53,0,0,17,10,1,10,5,6,10,22,17,0,22,5,3,22,0,34,32,1123,270,0,0,0,0,0,40290
3207,2590,2590,0,953,2.72,91668,1.34,2.28,0.48,263,380,70,0,0,18,2,13,7,2,9,0,10,50,0,74,21,2,15,0,31,54,1142,189,0,0,0,0,0,30710
3208,2497,2497,0,896,2.79,78154,1.14,1.78,0.7,76,67,0,0,0,2,0,2,8,0,2,1,1,4,0,3,26,0,12,0,4,0,1023,127,0,0,0,0,0,430
3209,1157,1157,0,379,3.05,86733,1.31,1.93,0.78,63,199,9,0,0,4,5,8,0,4,4,8,14,9,0,0,0,0,0,0,133,0,456,77,0,0,0,0,0,5430
3210,3738,3738,0,1125,3.32,108345,1.24,1.81,1,130,53,0,0,0,0,0,1,1,0,0,0,7,16,0,0,17,0,3,0,8,0,1024,1,0,0,0,0,0,1890
3211,3361,3361,0,1054,3.19,216156,1.18,2.26,0.96,141,280,2,0,0,8,3,12,0,0,3,3,19,17,19,0,32,38,73,0,42,9,1078,24,0,0,0,0,0,4710
3212,2544,2544,0,847,3,108345,1.12,1.81,0.9,146,239,5,0,0,33,2,6,4,3,0,4,16,1,0,51,4,11,30,33,36,0,879,31,0,0,0,0,0,4330
3213,1715,1715,0,512,3.35,201485,1.5,0.54,1,46,323,3,0,0,22,102,64,2,0,6,6,3,2,8,5,43,2,15,0,26,15,496,1,0,0,0,0,0,1660
3214,1480,1480,0,528,2.8,86998,1.32,2.26,0.49,142,157,67,0,0,10,12,5,5,2,5,0,3,6,0,3,5,2,6,0,18,9,664,136,0,0,0,0,0,20950
3215,1337,1337,0,421,3.18,122596,1.6,1.91,0.64,75,57,2,0,0,0,2,1,0,0,2,1,3,3,0,0,0,0,30,8,4,0,435,14,0,0,0,0,0,2260
3216,1939,1939,0,667,2.91,208578,1.29,0.01,0.67,185,170,0,0,2,0,4,7,0,0,4,0,25,4,0,3,68,34,3,7,11,0,618,1,0,0,0,0,0,1590
3217,2458,2458,0,807,3.05,177626,1.44,2.46,0.79,204,416,1,0,0,17,2,11,68,3,5,23,13,54,0,53,4,47,18,64,23,10,752,1,0,0,0,0,0,5120
3218,3188,3188,0,1152,2.77,110766,1.4,2,0.7,260,352,3,0,0,5,6,11,147,2,6,15,11,19,0,26,1,35,13,29,23,0,1082,1,0,0,0,0,0,670
3219,2356,2356,0,839,2.81,76581,1.37,2.19,0.56,223,844,10,2,0,141,68,25,87,3,17,0,10,9,8,54,31,20,45,81,62,172,975,135,0,0,0,0,0,11860
3220,3002,3002,0,1026,2.93,57144,1.11,1.76,0.69,142,303,6,8,0,3,2,19,75,3,4,24,24,10,0,0,0,20,0,68,34,4,1061,35,0,0,0,0,0,1880
3221,3676,3676,0,1171,3.14,105665,1.55,2.1,0.72,180,142,0,0,4,5,63,5,13,1,4,0,3,19,0,6,0,4,7,3,3,0,1038,1,0,0,0,0,0,900
3222,2495,2495,0,844,2.96,145306,1.63,2.93,0.7,220,245,8,0,0,6,15,6,66,10,3,16,6,20,0,3,0,30,19,0,22,15,902,58,0,0,0,0,0,9420
3223,2766,2766,0,869,3.18,115107,1.35,0.01,0.72,82,142,3,0,0,2,4,2,0,0,14,0,18,7,0,10,0,32,29,0,21,0,738,1,0,0,0,0,0,750
3224,2483,2483,0,863,2.88,115491,1.55,2.3,0.52,158,147,1,0,0,6,2,9,1,1,2,0,5,29,2,17,0,35,17,0,20,0,800,1,0,0,0,0,0,2470
3225,4078,3791,287,1635,2.32,55221,0.96,1.52,0.41,793,5642,0,0,0,116,21,61,163,37,70,97,103,193,71,75,863,504,58,141,225,2844,1807,172,0,0,0,0,0,1210
3226,1726,1537,189,766,2.01,67163,0.9,1.78,0.3,228,6266,4,7,8,814,393,386,1121,38,168,276,197,635,71,236,8,1026,380,303,195,0,871,105,0,0,0,0,0,1360
3227,2360,2360,0,854,2.76,60855,1.14,2.21,0.53,221,351,13,0,0,24,21,13,63,4,2,18,10,5,0,62,0,16,14,35,53,0,1033,179,0,0,0,0,0,18590
3228,1900,1900,0,704,2.7,95731,1.21,1.71,0.52,191,31,5,0,0,1,1,1,1,1,5,0,0,7,0,0,0,0,4,0,1,3,681,1,0,0,0,0,0,700
3229,4387,4387,0,1360,3.23,78154,1.35,1.78,0.84,147,60,1,0,0,2,1,4,1,1,4,0,14,3,0,8,2,0,13,0,4,0,1373,13,0,0,0,0,0,1730
3230,913,643,270,238,2.7,95731,1.12,1.71,0.49,73,4173,5,27,8,732,557,119,315,20,33,25,25,534,0,109,31,75,28,198,679,658,339,101,0,0,0,0,0,6930
3231,3788,3788,0,1167,3.25,78154,1.36,1.78,0.84,105,145,0,0,0,10,5,5,0,7,3,0,3,1,0,3,67,30,0,0,11,0,1142,1,0,0,0,0,0,930
3232,3112,3112,0,1022,3.05,78154,1.27,1.78,0.79,73,29,0,0,0,1,1,5,0,3,0,0,2,0,0,0,0,0,2,0,1,13,941,1,0,0,0,0,0,710
3233,2852,2852,0,949,3.01,203483,1.3,2.47,0.84,262,515,9,0,0,26,2,22,0,3,5,2,12,22,5,10,305,0,36,15,40,0,935,1,0,0,0,0,0,5260
3234,1981,1922,59,745,2.58,84917,1.06,1.9,0.41,301,7738,14,43,5,818,111,253,1235,179,97,548,245,1046,227,1092,46,477,204,363,586,149,774,29,0,0,0,0,0,3780
